#Data tag : 24v2 , Norm tag: None
#run:fill,time,ncms,hltpath,delivered(/pb),recorded(/pb)
384383:9996,08/13/24 01:10:37,1000,HLT_Photon30EB_TightID_TightIso_v11,2.186965780,2.064454872
384406:10000,08/13/24 14:20:29,604,HLT_Photon30EB_TightID_TightIso_v11,1.527027447,1.427685124
384413:10001,08/13/24 20:26:14,1953,HLT_Photon30EB_TightID_TightIso_v11,4.653873519,4.368406228
384446:10002,08/14/24 12:08:34,244,HLT_Photon30EB_TightID_TightIso_v11,0.626875558,0.583173964
384464:10004,08/14/24 18:47:13,248,HLT_Photon30EB_TightID_TightIso_v11,0.591751191,0.552870692
384468:10005,08/14/24 23:38:21,1912,HLT_Photon30EB_TightID_TightIso_v11,4.574614970,4.248109800
384485:10006,08/15/24 14:45:03,94,HLT_Photon30EB_TightID_TightIso_v11,0.169569658,0.154505810
384486:10006,08/15/24 15:25:49,34,HLT_Photon30EB_TightID_TightIso_v11,0.089201484,0.080015030
384487:10006,08/15/24 15:42:19,30,HLT_Photon30EB_TightID_TightIso_v11,0.078829610,0.071216420
384489:10006,08/15/24 16:02:32,29,HLT_Photon30EB_TightID_TightIso_v11,0.076089893,0.066262303
384490:10006,08/15/24 16:17:13,31,HLT_Photon30EB_TightID_TightIso_v11,0.081229974,0.071613561
384491:10006,08/15/24 16:32:41,31,HLT_Photon30EB_TightID_TightIso_v11,0.081153576,0.074182165
384492:10006,08/15/24 16:48:32,1611,HLT_Photon30EB_TightID_TightIso_v11,3.889827946,3.645800874
384565:10010,08/16/24 21:29:08,1711,HLT_Photon30EB_TightID_TightIso_v11,4.247816120,3.926868845
384579:10012,08/17/24 11:16:57,526,HLT_Photon30EB_TightID_TightIso_v11,1.341326129,1.243355446
384591:10013,08/17/24 17:20:39,157,HLT_Photon30EB_TightID_TightIso_v11,0.335238987,0.305950225
384593:10013,08/17/24 18:32:48,137,HLT_Photon30EB_TightID_TightIso_v11,0.360060041,0.332867523
384610:10014,08/17/24 22:43:48,405,HLT_Photon30EB_TightID_TightIso_v11,0.826688172,0.786043369
384614:10016,08/18/24 05:44:59,1241,HLT_Photon30EB_TightID_TightIso_v11,3.213222833,2.983757457
384638:10017,08/18/24 17:19:49,532,HLT_Photon30EB_TightID_TightIso_v11,1.349008726,1.194273501
384644:10017,08/18/24 21:25:06,1046,HLT_Photon30EB_TightID_TightIso_v11,2.578614265,2.349174719
384933:10049,08/23/24 19:17:07,623,HLT_Photon30EB_TightID_TightIso_v11,1.572484316,1.471774732
384934:10049,08/23/24 23:22:14,4,HLT_Photon30EB_TightID_TightIso_v11,0.010213286,0.009189182
384935:10049,08/23/24 23:30:44,1327,HLT_Photon30EB_TightID_TightIso_v11,2.977498267,2.851032121
